iter	Passed	Remaining
828	34496	7158
829	34535	7116
830	34535	7116
831	34568	7030
832	34603	6987
833	34641	6945
834	34675	6901
835	34708	6858
836	34742	6814
837	34779	6771
838	34814	6728
839	34849	6685
840	35802	6817
841	35838	6773
842	35870	6728
843	35905	6684
844	35941	6639
845	35976	6595
846	36011	6551
847	36045	6506
848	36082	6463
849	36129	6421
850	36170	6378
851	36210	6334
852	36251	6291
853	36292	6248
854	36333	6205
855	36370	6161
856	36408	6117
857	36442	6073
858	36478	6029
859	36514	5985
860	36552	5942
861	36590	5898
862	36626	5855
863	36666	5811
864	36700	5767
865	36735	5723
866	36768	5679
867	36802	5635
868	36837	5591
869	36871	5547
870	36908	5504
871	36941	5460
872	36977	5416
873	37011	5372
874	37049	5329
875	37087	5286
876	37123	5242
877	37158	5198
878	37194	5155
879	37227	5111
880	37264	5067
881	37301	5024
882	37336	4981
883	37376	4938
884	37415	4895
885	37453	4851
886	37493	4809
887	37530	4765
888	37569	4722
889	37607	4679
890	37642	4636
891	37678	4592
892	37711	4549
893	37745	4505
894	37781	4462
895	37815	4418
896	37853	4375
897	37886	4332
898	37922	4289
899	37955	4245
900	37990	4202
901	38026	4159
902	38060	4115
903	38101	4073
904	38137	4030
905	38173	3987
906	38209	3943
907	38246	3900
908	38283	3858
909	38317	3814
910	38354	3771
911	38386	3728
912	38421	3685
913	38455	3642
914	38489	3599
915	38525	3556
916	38559	3513
917	38592	3469
918	38629	3427
919	38669	3384
920	38705	3341
921	38744	3299
922	38779	3256
923	38816	3213
924	38857	3171
925	38892	3128
926	38932	3085
927	38969	3043
928	39009	3000
929	39045	2957
930	39080	2915
931	39114	2872
932	39150	2829
933	39186	2786
934	39224	2744
935	39261	2701
936	39294	2659
937	39331	2616
938	39368	2573
939	39402	2531
940	39435	2488
941	39468	2445
942	39504	2403
943	39539	2360
944	39573	2317
945	39609	2275
946	39653	2233
947	39691	2191
948	39731	2148
949	39766	2106
950	39806	2064
951	39841	2021
952	39876	1979
953	39912	1936
954	39950	1894
955	39991	1852
956	40036	1810
957	40078	1768
958	40122	1726
959	40163	1684
960	40200	1641
961	40234	1599
962	40269	1556
963	40303	1514
964	40336	1472
